2018-12-05 14:54:09.095155, '@Lituaxion @SelloSamuel14 @MlunguMitch @ClintonDillion1 @LanceKay1 @gumede783 @AgainstSage @_sansculottes_u2026 https://t.co/dSrfBINdmQ', 0.0
2018-12-05 14:54:09.112107, 'We are so thankful to all who are serving our nation and especially those who are our family members deployed! Thanu2026 https://t.co/o2WO2vyOoE', 0.36065
2018-12-05 14:54:09.136045, 'RT @RayZzzMattress: CHECK THIS OUT....AMAZING!!!nhttps://t.co/p1e845oocA', 0.0
2018-12-05 14:54:09.258084, 'RT @firacrestheatre: *THIS IS A FREE PERFORMANCE BUT SEATING IS LIMITED*nProfessor Stepan u0160imek teaches this years Directing 301 class andu2026', 0.3646
2018-12-05 14:54:09.341067, ''Internal Facebook Documents Reveal Zuckerberg Discussed Selling User Data to Developers Advertisers'u2026 https://t.co/byTzFcBRhu', 0.0
2018-12-05 14:54:09.376968, 'Doesnu2019t get more CANADIAN than this! :Canada: nSome of Canadau2019s FIREFIGHTERS/HEROES playing a little game of Ball Hockeyu2026 https://t.co/Ukqy7BWbtb', 0.10115
2018-12-05 14:54:09.582251, 'travelling to Dungiven from Belfast International Airport https://t.co/V6gX35CGVw', 0.0
2018-12-05 14:54:09.632117, 'We know that air pollution can affect your lungs but did you know that it can also affect your eyes? https://t.co/73IAO1FTGI', 0.0
2018-12-05 14:54:09.659040, 'A prayer for you as the year draws to a close. Can I hear you same a loud Amen? https://t.co/hePbmOMw46', 0.0
2018-12-05 14:54:09.752807, 'Dear Autumn - thanks for your warmth beauty! Bye now :waving_hand_medium-light_skin_tone::fallen_leaf::maple_leaf: #maurogomesnyc #magnafloranyc #flowerpower #powerfloweru2026 https://t.co/8Yhh8LmYpJ', 0.45585
2018-12-05 14:54:09.768722, 'u201cWe have to kind of tell everyone how smart we are and so we have a tendency to be very left-brainu201d the senator au2026 https://t.co/5SoQrZkkLH', 0.4019
2018-12-05 14:54:09.799670, 'Additional Voice Features for the New Year https://t.co/GJ5N5sykJQ #MicrosoftTeams', 0.0
2018-12-05 14:54:09.842556, 'Expect The Unexpected :hundred_points: https://t.co/GjzL4J3zVg', 0.0
2018-12-05 14:54:09.865493, 'https://t.co/nYNZfEOHQo Announces the worldu2019s first Rewards-Based Operating System for its new line of Smartphonesu2026 https://t.co/mHANglGXYU', 0.0
2018-12-05 14:54:09.941285, 'RT @zerohedge: Facebook Struck Secret Deals To Sell Preferential User Data; Undermined Rivals Per Leaked Emails https://t.co/7bfob1uTMV', -0.7003
2018-12-05 14:54:10.138773, 'RT @MSFTmeetups: The #Imaginarium has arrived in #Birmingham. Tonight the clowns and freaks are welcoming the masses to the unseen horrorsu2026', 0.1806
2018-12-05 14:54:10.173669, 'Im gonna say it.....                                                              Google home is better than Alexa.u2026 https://t.co/OA45pjn6az', 0.4404
2018-12-05 14:54:10.203590, 'RT @cryptonite_1: @ashk4n @facebook I feel like I need to file a restraining order against FB.', 0.3612
2018-12-05 14:54:10.254455, 'Why Does #Google Confirm Some Core Algorithm Updates &amp; Not Others?    https://t.co/0RB3x6ETMb https://t.co/O5IgFRP2wO', 0.0
2018-12-05 14:54:10.295347, 'Join Cheley tonight in this amazing gentle practice adding the healing qualities of yoga to your life while openingu2026 https://t.co/DT5E0Kghbm', 0.8625
2018-12-05 14:54:10.486840, 'RT @MarshallforDISD: Please join me for a Town Hall at Geneva Heights Elementary on December 6th at 6:00pm. nhttps://t.co/f54xte4dF4 https:u2026', 0.27115
2018-12-05 14:54:10.525727, 'Last Friday night South Grenville's Gaming and Strategy club held its third annual Gaming Night in the Learning Cou2026 https://t.co/4BdbjbvI35', 0.0
2018-12-05 14:54:10.703802, 'Always a pleasure to spend time with @traceypretorius and exciting collaboration opportunities with Microsoft.u2026 https://t.co/mpMocrjvJ0', 0.8591
2018-12-05 14:54:10.720755, 'THE EVIDENCE IS CLEAR LOOK AT THE MOCKERY AND ALL THE SIGNALS THEY ARE USING TO PASS INFORMATION TO ONLY THE INTELu2026 https://t.co/ZNsgTw32ce', 0.0772
2018-12-05 14:54:10.756662, 'RT @girl4_trump: Canu2019t say I blame her. Glenn Becku2019s cheese slid off his cracker with Trump. The guy went somewhere dark the last few yearsu2026', -0.11333333333333334
2018-12-05 14:54:10.779601, 'We know that air pollution can affect your lungs but did you know that it can also affect your eyes? https://t.co/uP1BYWSVJb', 0.0
2018-12-05 14:54:11.129494, 'RT @DmodGmod: So uhnI went on google and searched Nintendo green screen https://t.co/bU7Ug160jq', 0.0
2018-12-05 14:54:11.188337, 'RT @Kimmydoll49: You're not a Scottish MP. You're part of a UK party and you offer us nothing. As a country Scotland voted REMAIN!! You wou2026', 0.100475
2018-12-05 14:54:11.202271, 'Dutch &amp; swishers https://t.co/FYvd4LJOcX', 0.0
2018-12-05 14:54:11.238207, 'RT @CoryGroshek: Facebook and other Big Tech companies are clearly planning to take down all of their sites at the same time in a major blau2026', 0.4019
2018-12-05 14:54:11.338659, 'RT @Team_Satchel: :Christmas_tree:Christmas Contest - Day 1:Christmas_tree:nnAnswer this first #Satchel12Days question correctly to be in a chance to win a delicious Chru2026', 0.8591
2018-12-05 14:54:11.385546, 'RT @RexHuppke: This is both fascinating and depressing. Itu2019s the Dow Jones Industrial Average over yesterday and today. It shows the stupidu2026', 0.07543333333333334
2018-12-05 14:54:11.418451, 'It's incredible how this Karimot who once felt like she was not enough is now showing others they are more than enu2026 https://t.co/4HUKFdfgy8', 0.3612
2018-12-05 14:54:11.432416, 'NO CAP https://t.co/pB1S5aIbff', -0.4466
2018-12-05 14:54:11.485273, 'If you're having a bad day here is a video of a dog helping a bearded dragon hunt crickets https://t.co/RIAJdX3v6g', -0.3182
2018-12-05 14:54:11.647842, 'I posted a new video to Facebook https://t.co/I1lMfNzMH8', 0.0
2018-12-05 14:54:11.694713, 'RT @ThinBlueLR: Trump was very well liked by almost everyone before he decided to set aside his very successful &amp; profitable life as a busiu2026', 0.9141
2018-12-05 14:54:11.711637, 'So we will like to clear the air on a number of things.nnRegarding the availability to make the games every week wu2026 https://t.co/I9sMwkgihz', 0.6872
2018-12-05 14:54:11.766520, 'honestly nothing is more uniting than seeing when a classmate joins you on google docs and works with you to complete the group assignment', 0.4588
2018-12-05 14:54:11.787464, 'Phone Scammers Claim to Harm Victim's FamilynnRecently law enforcement agencies in New Jersey began investigatingu2026 https://t.co/jttjnRFahu', -0.5423
2018-12-05 14:54:11.837526, 'DMRC : We promote Healthy Living and  Responsible diabetes management in Kenya. nnhttps://t.co/TAm2fJ1ziJ https://t.co/5YaVasDGt7', 0.3825
2018-12-05 14:54:11.929339, 'RT @Dat4nnymuyi: some guys will follow a girl on Instagram Facebook Twitter &amp; still come to Whatsapp and ask for pics........ what kind ou2026', 0.5267
2018-12-05 14:54:12.024061, 'RT @GeneforTexas: Oh dear. nnWhat will the world come to if all of the @TexasGOP start saying what they really feel? https://t.co/h0qB6XGiu2026', 0.12726666666666667
2018-12-05 14:54:12.039073, 'Deadline is tomorrow - December 7th 2018! nnSend in your recommendations! https://t.co/yzgEW00ebT', 0.0
2018-12-05 14:54:12.053016, 'NEWS RELEASE 12/5/2018 https://t.co/lrhzG8ZrAi', 0.0
2018-12-05 14:54:12.082934, 'RT @sejournal: The impact of Google My Business on local search rankings has seen significant growth in 2018 according to @Moz's 2018 Locau2026', 0.5267
2018-12-05 14:54:12.462924, 'RT @ashk4n: BREAKING: @CommonsCMS @DamianCollins just released previously sealed #Six4Three @Facebook documents: https://t.co/XOvhaS0eMc', 0.0
2018-12-05 14:54:12.611957, 'RT @OuterSiberia: completely inappropriate to do this @Google https://t.co/evt93FEd1D', 0.0
2018-12-05 14:54:12.696723, 'people think im fucking stupid but im actually very book smart :woman_shrugging_light_skin_tone: https://t.co/ltfKteM1F8', 0.3861
2018-12-05 14:54:12.867243, 'The @Google logo is in black in memory to George H. W Bush very great #Remembering41 #Google :United_States::United_States::United_States::United_States: https://t.co/1lQjYgySyv', 0.659
2018-12-05 14:54:12.894203, 'RT @JohnWren1950: For non-VIC people this is moderate Lib @johnpesutto formerly the state  shadow AG who lost one of the safest @LiberalAuu2026', 0.1027
2018-12-05 14:54:12.920133, 'Please help him if you canitu2019s so piteous to see him like this and sadly he has no one to bear his treatmentu2019s expu2026 https://t.co/vsU4QIaBrj', -0.0941
2018-12-05 14:54:12.935096, 'How amazing would it be if all shelters were able to do this? https://t.co/79cUuj2Vpp', 0.29295
2018-12-05 14:54:13.089685, 'RT @Johngcole: google population density https://t.co/kSxjzHXuaA', 0.0
2018-12-05 14:54:13.120567, 'RT @soapdog: I just wrote a (ranty) post about #WebKit and #Chrome monoculture on the wake of #Microsoft dropping #EdgeHTML: nnhttps://t.cou2026', 0.0
