2018-11-27 12:11:16.460359, 'RT @airfarewatchdog: From #NewYorkCity to beautiful downtown #Burbank for $257RT nonstop on @JetBlue for winter travel https://t.co/5HykoIVu2026'
2018-11-27 12:12:24.145531, 'RT @DarrenCriss: Keepin it minty fresh after a smashing fourth year of @ElsieFest in NY thanks @JetBlue for the lift back to the west coasu2026'
2018-11-27 12:12:30.373791, '@JetBlue So for the entire month of May youu2019re only sending 1 random afternoon flight per day from PVD to MCO?? I fu2026 https://t.co/pLOYThvnYr'
2018-11-27 12:12:50.633628, '@JetBlue Nice! Loved it'
2018-11-27 12:12:54.578961, 'RT @JetBlue: Itu2019s #GivingTuesday and weu2019re off to Destination Good u2013 in the Dominican Republic! Thanks to our new JetBlue For Good liveryu2026'
